id,lemma,pos,senseKey,sourceCefr,cefrBandCandidate,primaryStageCandidate,levelBasis,primaryTopic,vocabularyLane,variants,sourceTopics,status,reviewStatus,reviewNeeds
pv_his_pronoun,his,pronoun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_history_noun,history,noun,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,school_learning,general_english,,Education | Education,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hit_verb,hit,verb,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hobby_noun,hobby,noun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,hobbies_free_time,general_english,,"Hobbies and pastimes | Free time, entertainment",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hockey_noun,hockey,noun,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,hobbies_free_time,general_english,,"Free time, entertainment",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hold_noun,hold,noun,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hold_verb,hold,verb,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hole_noun,hole,noun,unspecified,A1,A1,A1_1,cefrj_plus_primary_heuristic,town_services,general_english,,"Things in the town, shops and shopping | House and home, environment",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_holiday_noun,holiday,noun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,hobbies_free_time,general_english,,"Hobbies and pastimes | Free time, entertainment",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_home_adverb,home,adverb,unspecified,A2,A2,A2_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_home_noun,home,noun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,family_friends,general_english,,Family life | Daily life,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hometown_noun,hometown,noun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,world_places,general_english,,Nationalities and countries | Personal identification,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_homework_noun,homework,noun,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,school_learning,general_english,,Education | Education,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_honey_noun,honey,noun,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,food_drink,general_english,,Food and drink,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hope_noun,hope,noun,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_horse_noun,horse,noun,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hospital_noun,hospital,noun,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,town_services,general_english,,"Things in the town, shops and shopping | Health and body care",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hot_adjective,hot,adjective,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hotel_noun,hotel,noun,unspecified,A1,A1,A1_1,cefrj_plus_primary_heuristic,travel_transport,general_english,,Travel and services vocab | Travel,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hour_noun,hour,noun,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_house_noun,house,noun,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,town_services,general_english,,"Things in the town, shops and shopping | House and home, environment",candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_how_adverb,how,adverb,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_however_adverb,however,adverb,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hug_verb,hug,verb,unspecified,A2,A2,A2_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_human_adjective,human,adjective,unspecified,A2,A2,A2_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_human_rights_noun,human rights,noun,unspecified,A2,A2,A2_1,primary_curriculum_decision,global_citizenship,global_studies,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hundred_number,hundred,number,unspecified,A2,A2,A2_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hungry_adjective,hungry,adjective,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hunter_noun,hunter,noun,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,jobs_community,general_english,,Work and Jobs | Personal identification,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hurry_noun,hurry,noun,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hurry_verb,hurry,verb,unspecified,A2,A2,A2_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_hurt_verb,hurt,verb,unspecified,A1,A1,A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_husband_noun,husband,noun,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,family_friends,general_english,,Family life | Personal identification,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_i_pronoun,I,pronoun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_ice_cream_noun,ice cream,noun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,food_drink,general_english,,Food and drink | Food and drink,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_ice_noun,ice,noun,unspecified,A1,PRE_A1,PRE_A1_1,cefrj_plus_primary_heuristic,food_drink,general_english,,Food and drink | Food and drink,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_idea_noun,idea,noun,unspecified,A1,PRE_A1,PRE_A1_2,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
pv_ideal_adjective,ideal,adjective,unspecified,A1,A1,A1_1,cefrj_plus_primary_heuristic,general_language,general_english,,,candidate,unreviewed,confirm_sense | confirm_primary_stage | add_learner_definition_en | add_learner_meaning_vi | add_forms_and_grammar | add_example_and_media
